SN,Severity,Equipment,Equipment ID,Alarm Name,Generation Time,End Time,Fault Code,
905,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 10:40:43,2024-04-14 10:45:10,0
901,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-13 01:16:07,2024-04-13 01:16:31,0
900,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-10 16:40:41,2024-04-10 16:40:54,0
899,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-10 16:35:58,2024-04-10 16:39:45,0
898,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-10 04:10:19,2024-04-10 04:10:26,0
897,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-10 02:25:23,2024-04-10 02:25:31,0
896,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-10 02:24:09,2024-04-10 02:25:18,0
895,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-09 21:22:23,2024-04-09 21:26:33,0
894,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-09 21:06:28,2024-04-09 21:06:58,0
891,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-04 13:37:12,2024-04-04 13:37:31,0
890,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-04 13:34:33,2024-04-04 13:34:40,0
889,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-04 13:33:53,2024-04-04 13:34:05,0
888,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 13:31:15,2024-01-28 13:35:03,0
887,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 13:27:05,2024-01-28 13:30:02,0
886,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 13:22:09,2024-01-28 13:24:50,0
885,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:38:28,2024-01-28 11:38:36,0
884,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:33:13,2024-01-28 11:33:20,0
883,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:32:32,2024-01-28 11:32:39,0
882,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:30:08,2024-01-28 11:30:15,0
881,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:04:10,2024-01-28 11:04:17,0
880,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 11:03:24,2024-01-28 11:03:31,0
879,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 10:58:30,2024-01-28 10:58:48,0
878,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 10:48:59,2024-01-28 10:49:17,0
877,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 10:46:52,2024-01-28 10:47:11,0
876,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-01-28 10:44:24,2024-01-28 10:44:31,0
874,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 13:49:11,2023-07-31 13:53:21,0
873,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 13:45:29,2023-07-31 13:48:20,0
872,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 13:23:31,2023-07-31 13:30:44,0
871,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 13:10:12,2023-07-31 13:10:19,0
870,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 13:02:05,2023-07-31 13:02:12,0
869,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:41:20,2023-07-31 11:41:27,0
868,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:40:40,2023-07-31 11:40:47,0
867,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:30:01,2023-07-31 11:30:08,0
866,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:11:30,2023-07-31 11:11:37,0
865,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:10:32,2023-07-31 11:10:39,0
864,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:07:51,2023-07-31 11:07:58,0
863,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:04:55,2023-07-31 11:05:13,0
862,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 11:04:14,2023-07-31 11:04:21,0
861,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 10:59:06,2023-07-31 10:59:25,0
860,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 10:57:52,2023-07-31 10:58:21,0
859,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-07-31 10:54:55,2023-07-31 10:55:31,0
854,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-03-09 14:44:01,2023-03-09 14:54:04,0
856,Critical,ECC800_FM03,0x0001,water_sensor_1 DI alarm,2023-03-09 14:47:01,2023-03-09 14:47:04,0
853,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 11:14:37,2023-02-06 11:18:43,0
852,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:58:02,2023-02-06 11:02:58,0
851,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:48:29,2023-02-06 10:53:31,0
850,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:44:14,2023-02-06 10:47:05,0
849,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:22:46,2023-02-06 10:22:53,0
848,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:20:17,2023-02-06 10:22:07,0
847,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:10:23,2023-02-06 10:10:31,0
846,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:07:56,2023-02-06 10:08:09,0
845,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:06:30,2023-02-06 10:06:43,0
844,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 10:04:30,2023-02-06 10:04:49,0
843,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:54:57,2023-02-06 09:55:04,0
842,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:54:11,2023-02-06 09:54:18,0
841,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:24:07,2023-02-06 09:24:14,0
