Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-11 00:00:00,"	3584.50","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-20 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-20 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-20 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-20 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-20 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-21 00:00:00,"	3589.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-21 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-21 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-21 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-21 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-21 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-21 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-22 00:00:00,"	3593.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-22 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-22 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-22 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-22 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-22 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-22 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-23 00:00:00,"	3592.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-23 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-23 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-23 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-23 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-23 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-23 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-24 00:00:00,"	3595.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-24 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-24 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-24 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-24 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-24 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-24 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-25 00:00:00,"	3600.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-25 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-25 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-25 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-25 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-25 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-25 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-26 00:00:00,"	3623.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-26 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-26 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-26 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-26 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-26 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-26 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-27 00:00:00,"	3627.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-27 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-27 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-27 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-27 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-27 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-27 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-28 00:00:00,"	3632.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-28 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-28 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-28 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-28 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-28 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-28 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-29 00:00:00,"	3632.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-29 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-29 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-29 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-29 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-29 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-29 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-30 00:00:00,"	3627.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-30 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-30 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-30 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-30 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-30 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-30 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-01 00:00:00,"	3649.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-02 00:00:00,"	3692.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-02 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-02 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-02 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-02 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-02 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-02 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-03 00:00:00,"	3691.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-03 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-03 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-03 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-03 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-03 00:00:00,"	No Data","	℃"
